data, nivel, localizacao, metrica, valores, mercado;
2018, Cidade, Aveiro, preco m2, 994, compra;
2018, Cidade, Beja, preco m2, 793, compra;
2018, Cidade, Braga, preco m2, 911, compra;
2018, Cidade, Bragança, preco m2, 688, compra;
2018, Cidade, Castelo Branco, preco m2, 668, compra;
2018, Cidade, Coimbra, preco m2, 996, compra;
2018, Cidade, Évora, preco m2, 847, compra;
2018, Cidade, Faial, preco m2, 954, compra;
2018, Cidade, Faro, preco m2, 2032, compra;
2018, Cidade, Guarda, preco m2, 656, compra;
2018, Cidade, Leiria, preco m2, 1054, compra;
2018, Cidade, Lisboa, preco m2, 2919, compra;
2018, Cidade, Madeira, preco m2, 1442, compra;
2018, Cidade, Portalegre, preco m2, 788, compra;
2018, Cidade, Porto, preco m2, 1632, compra;
2018, Cidade, Santarém, preco m2, 770, compra;
2018, Cidade, São Miguel, preco m2, 914, compra;
2018, Cidade, Setúbal, preco m2, 1320, compra;
2018, Cidade, Terceira, preco m2, 842, compra;
2018, Cidade, Viana do Castelo, preco m2, 999, compra;
2018, Cidade, Vila Real, preco m2, 749, compra;
2018, Cidade, Viseu, preco m2, 735, compra;
2019, Cidade, Aveiro, preco m2, 1089, compra;
2019, Cidade, Beja, preco m2, 802, compra;
2019, Cidade, Braga, preco m2, 971, compra;
2019, Cidade, Bragança, preco m2, 747, compra;
2019, Cidade, Castelo Branco, preco m2, 678, compra;
2019, Cidade, Coimbra, preco m2, 1068, compra;
2019, Cidade, Évora, preco m2, 873, compra;
2019, Cidade, Faial, preco m2, 704, compra;
2019, Cidade, Faro, preco m2, 2189, compra;
2019, Cidade, Guarda, preco m2, 670, compra;
2019, Cidade, Leiria, preco m2, 1114, compra;
2019, Cidade, Lisboa, preco m2, 3222, compra;
2019, Cidade, Madeira, preco m2, 1552, compra;
2019, Cidade, Portalegre, preco m2, 635, compra;
2019, Cidade, Porto, preco m2, 1922, compra;
2019, Cidade, Santarém, preco m2, 759, compra;
2019, Cidade, São Miguel, preco m2, 966, compra;
2019, Cidade, Setúbal, preco m2, 1532, compra;
2019, Cidade, Terceira, preco m2, 827, compra;
2019, Cidade, Viana do Castelo, preco m, 976, compra;
2019, Cidade, Vila Real, preco m, 733, compra;
2019, Cidade, Viseu, preco m2, 758, compra;
2020, Cidade, Aveiro, preco m2, 1249, compra;
2020, Cidade, Beja, preco m2, 777, compra;
2020, Cidade, Braga, preco m2, 1062, compra;
2020, Cidade, Bragança, preco m2, 765, compra;
2020, Cidade, Castelo Branco, preco m2, 693 , compra;
2020, Cidade, Coimbra, preco m2, 1196, compra;
2020, Cidade, Évora, preco m2, 871, compra;
2020, Cidade, Faial, preco m2, 832, compra;
2020, Cidade, Faro, preco m2, 2347, compra;
2020, Cidade, Guarda, preco m2, 630, compra;
2020, Cidade, Leiria, preco m2, 1143 , compra;
2020, Cidade, Lisboa, preco m2, 3290, compra;
2020, Cidade, Madeira, preco m2, 1683, compra;
2020, Cidade, Portalegre, preco m2, 634, compra;
2020, Cidade, Porto, preco m2, 2107, compra;
2020, Cidade, Santarém, preco m2, 792 , compra;
2020, Cidade, São Miguel, preco m2, 1068, compra;
2020, Cidade, Setúbal, preco m2, 1688, compra;
2020, Cidade, Terceira, preco m2, 840, compra;
2020, Cidade, Viana do Castelo, preco m2, 1008, compra;
2020, Cidade, Vila Real, preco m2, 853, compra;
2020, Cidade, Viseu, preco m2, 868, compra;
2021, Cidade, Aveiro, preco m2, 1385, compra;
2021, Cidade, Beja, preco m2, 841, compra;
2021, Cidade, Braga, preco m2, 1216, compra;
2021, Cidade, Bragança, preco m2, 779, compra;
2021, Cidade, Castelo Branco, preco m2, 723, compra;
2021, Cidade, Coimbra, preco m2, 1200, compra;
2021, Cidade, Évora, preco m2, 1044, compra;
2021, Cidade, Faial, preco m2, 887, compra;
2021, Cidade, Faro, preco m2, 2579 , compra;
2021, Cidade, Guarda, preco m2, 660, compra;
2021, Cidade, Leiria, preco m2, 1246 , compra;
2021, Cidade, Lisboa, preco m2, 3689, compra;
2021, Cidade, Madeira, preco m2, 1915, compra;
2021, Cidade, Portalegre, preco m2, 606, compra;
2021, Cidade, Porto, preco m2, 2281, compra;
2021, Cidade, Santarém, preco m2, 840, compra;
2021, Cidade, São Miguel, preco m2, 1093, compra;
2021, Cidade, Setúbal, preco m2, 1948, compra;
2021, Cidade, Terceira, preco m2, 886, compra;
2021, Cidade, Viana do Castelo, preco m2, 1075, compra;
2021, Cidade, Vila Real, preco m2, 901, compra;
2021, Cidade, Viseu, preco m2, 868, compra;
2022, Cidade, Aveiro, preco m2, 1652, compra;
2022, Cidade, Beja, preco m2, 934, compra;
2022, Cidade, Braga, preco m2, 1418, compra;
2022, Cidade, Bragança, preco m2, 868, compra;
2022, Cidade, Castelo Branco, preco m2, 714, compra;
2022, Cidade, Coimbra, preco m2, 1295, compra;
2022, Cidade, Évora, preco m2, 1272, compra;
2022, Cidade, Faial, preco m2, 1192, compra;
2022, Cidade, Faro, preco m2, 3027, compra;
2022, Cidade, Guarda, preco m2, 666, compra;
2022, Cidade, Leiria, preco m2, 1412 , compra;
2022, Cidade, Lisboa, preco m2, 3782, compra;
2022, Cidade, Madeira, preco m2,2389, compra;
2022, Cidade, Portalegre, preco m2, 633, compra;
2022, Cidade, Porto, preco m2,2420, compra;
2022, Cidade, Santarém, preco m2, 999, compra;
2022, Cidade, São Miguel, preco m2, 1428, compra;
2022, Cidade, Setúbal, preco m2, 2292, compra;
2022, Cidade, Terceira, preco m2, 1046, compra;
2022, Cidade, Viana do Castelo, preco m2, 1205 , compra;
2022, Cidade, Vila Real, preco m2, 979, compra;
2022, Cidade, Viseu, preco m2, 934, compra;
2023, Cidade, Aveiro, preco m2, 1668, compra;
2023, Cidade, Beja, preco m2, 1054, compra;
2023, Cidade, Braga, preco m2, 1501, compra;
2023, Cidade, Bragança, preco m2, 872, compra;
2023, Cidade, Castelo Branco, preco m2, 867, compra;
2023, Cidade, Coimbra, preco m2, 1391, compra;
2023, Cidade, Évora, preco m2, 1322 , compra;
2023, Cidade, Faial, preco m2, 1302, compra;
2023, Cidade, Faro, preco m2, 3251, compra;
2023, Cidade, Guarda, preco m2, 704 , compra;
2023, Cidade, Leiria, preco m2, 1557, compra;
2023, Cidade, Lisboa, preco m2, 3896 , compra;
2023, Cidade, Madeira, preco m2, 2888, compra;
2023, Cidade, Portalegre, preco m2, 721, compra;
2023, Cidade, Porto, preco m2, 2516, compra;
2023, Cidade, Santarém, preco m2, 1126, compra;
2023, Cidade, São Miguel, preco m2, 1636, compra;
2023, Cidade, Setúbal, preco m2, 2444, compra;
2023, Cidade, Terceira, preco m2, 1153, compra;
2023, Cidade, Viana do Castelo, preco m2, 1457 , compra;
2023, Cidade, Vila Real, preco m2, 942, compra;
2023, Cidade, Viseu, preco m2, 1066, compra;
