data, nivel, localizacao, metrica, valores;
2018, sem abrigo, Aveiro, PSSA, 54;
2018, sem abrigo, Beja, PSSA, 24;
2018, sem abrigo, Braga, PSSA, 102;
2018, sem abrigo, Bragança, PSSA, 19;
2018, sem abrigo, Castelo Branco, PSSA, 0;
2018, sem abrigo, Coimbra, PSSA, 200;
2018, sem abrigo, Évora, PSSA, 21;
2018, sem abrigo, Faial, PSSA, NA;
2018, sem abrigo, Faro, PSSA, 61;
2018, sem abrigo, Guarda, PSSA, 0;
2018, sem abrigo, Leiria, PSSA, 31;
2018, sem abrigo, Lisboa, PSSA, 2473;
2018, sem abrigo, Madeira, PSSA, NA;
2018, sem abrigo, Portalegre, PSSA, 19;
2018, sem abrigo, Porto, PSSA, 560;
2018, sem abrigo, Santarém, PSSA, 23;
2018, sem abrigo, São Miguel, PSSA, NA;
2018, sem abrigo, Setúbal, PSSA,161;
2018, sem abrigo, Terceira, PSSA, NA;
2018, sem abrigo, Viana do Castelo, PSSA, 56;
2018, sem abrigo, Vila Real, PSSA, 5;
2018, sem abrigo, Viseu, PSSA, 0;
2019, sem abrigo, Aveiro, PSSA, 75;
2019, sem abrigo, Beja, PSSA, 54;
2019, sem abrigo, Braga, PSSA, 148;
2019, sem abrigo, Bragança, PSSA, 17;
2019, sem abrigo, Castelo Branco, PSSA, 0;
2019, sem abrigo, Coimbra, PSSA, 433;
2019, sem abrigo, Évora, PSSA, 33;
2019, sem abrigo, Faial, PSSA, NA;
2019, sem abrigo, Faro, PSSA, 34;
2019, sem abrigo, Guarda, PSSA, 0;
2019, sem abrigo, Leiria, PSSA, 16;
2019, sem abrigo, Lisboa, PSSA, 3145;
2019, sem abrigo, Madeira, PSSA, NA;
2019, sem abrigo, Portalegre, PSSA, 18;
2019, sem abrigo, Porto, PSSA, 592;
2019, sem abrigo, Santarém, PSSA, 21;
2019, sem abrigo, São Miguel, PSSA, NA;
2019, sem abrigo, Setúbal, PSSA, NA;
2019, sem abrigo, Terceira, PSSA, NA;
2019, sem abrigo, Viana do Castelo, preco m, 41;
2019, sem abrigo, Vila Real, preco m, 5;
2019, sem abrigo, Viseu, PSSA, 0;
2020, sem abrigo, Aveiro, PSSA, 57;
2020, sem abrigo, Beja, PSSA, 324;
2020, sem abrigo, Braga, PSSA, 80;
2020, sem abrigo, Bragança, PSSA, 14;
2020, sem abrigo, Castelo Branco, PSSA,0;
2020, sem abrigo, Coimbra, PSSA, 126;
2020, sem abrigo, Évora, PSSA, 25;
2020, sem abrigo, Faial, PSSA, NA;
2020, sem abrigo, Faro, PSSA, 113;
2020, sem abrigo, Guarda, PSSA, 0;
2020, sem abrigo, Leiria, PSSA, 18;
2020, sem abrigo, Lisboa, PSSA, 3780;
2020, sem abrigo, Madeira, PSSA, NA;
2020, sem abrigo, Portalegre, PSSA, 20;
2020, sem abrigo, Porto, PSSA, 590;
2020, sem abrigo, Santarém, PSSA, 36;
2020, sem abrigo, São Miguel, PSSA, NA;
2020, sem abrigo, Setúbal, PSSA, 166;
2020, sem abrigo, Terceira, PSSA, NA;
2020, sem abrigo, Viana do Castelo, PSSA, 36;
2020, sem abrigo, Vila Real, PSSA, 0;
2020, sem abrigo, Viseu, PSSA, NA;
2021, sem abrigo, Aveiro, PSSA, 54;
2021, sem abrigo, Beja, PSSA, 256;
2021, sem abrigo, Braga, PSSA, 115;
2021, sem abrigo, Bragança, PSSA, 15;
2021, sem abrigo, Castelo Branco, PSSA, 0;
2021, sem abrigo, Coimbra, PSSA, 154;
2021, sem abrigo, Évora, PSSA,159;
2021, sem abrigo, Faial, PSSA, NA;
2021, sem abrigo, Faro, PSSA, 151;
2021, sem abrigo, Guarda, PSSA, 0;
