01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,404
1961,,Portugal,,,,,,420
1962,,Portugal,,,,,,463
1963,,Portugal,,,,,,494
1964,,Portugal,,,,,,536
1965,,Portugal,,,,,,604
1966,,Portugal,,,,,,664
1967,,Portugal,,,,,,755
1968,,Portugal,,,,,,819
1969,,Portugal,,,,,,891
1970,,Portugal,,,,,,1005
1971,,Portugal,,,,,,1177
1972,,Portugal,,,,,,1403
1973,,Portugal,,,,,,1653
1974,,Portugal,,,,,,1970
1975,,Portugal,,,,,,2429
1976,,Portugal,,,,,,2873
1977,,Portugal,,,,,,3276
1978,,Portugal,,,,,,4146
1979,,Portugal,,,,,,5281
1980,,Portugal,,,,,,6819
1981,,Portugal,,,,,,8563
1982,,Portugal,,,,,,10686
1983,,Portugal,,,,,,13145
1984,,Portugal,,,,,,16112
1985,,Portugal,,,,,,19374
1986,,Portugal,,,,,,22847
1987,,Portugal,,,,,,27058
1988,,Portugal,,,,,,30658
1989,,Portugal,,,,,,36783
1990,,Portugal,,,,,,44117
1991,,Portugal,,,,,,51180
1992,,Portugal,,,,,,57690
1993,,Portugal,,,,,,60444
1994,,Portugal,,,,,,62970
1995,,Portugal,,,,,,66791
1995,Alemanha,,,,,,,1311855
1995,Áustria,,,,,,,121980
1995,Bélgica,,,,,,,145834
1995,Bulgária,,,,,,,11905
1995,Chéquia,,,,,,,25777
1995,Chipre,,,,,,,4654
1995,Croácia,,,,,,,11707
1995,Dinamarca,,,,,,,71728
1995,Eslováquia,,,,,,,9307
1995,Eslovénia,,,,,,,10896
1995,Espanha,,,,,,,312005
1995,Estónia,,,,,,,2067
1995,Finlândia,,,,,,,58343
1995,França,,,,,,,770802
1995,Grécia,,,,,,,83971
1995,Hungria,,,,,,,23308
1995,Irlanda,,,,,,,29955
1995,Itália,,,,,,,672115
1995,Letónia,,,,,,,2203
1995,Lituânia,,,,,,,3302
1995,Luxemburgo,,,,,,,8371
1995,Malta,,,,,,,1897
1995,Países Baixos,,,,,,,188581
1995,Polónia,,,,,,,78408
1995,Portugal,,,,,,,68282
1995,Roménia,,,,,,,20151
1995,Suécia,,,,,,,100844
1996,,Portugal,,,,,,70243
1996,Alemanha,,,,,,,1315774
1996,Áustria,,,,,,,123133
1996,Bélgica,,,,,,,143700
1996,Bulgária,,,,,,,6728
1996,Chéquia,,,,,,,29974
1996,Chipre,,,,,,,5058
1996,Croácia,,,,,,,13390
1996,Dinamarca,,,,,,,72620
1996,Eslováquia,,,,,,,10708
1996,Eslovénia,,,,,,,11205
1996,Espanha,,,,,,,336901
1996,Estónia,,,,,,,2502
1996,Finlândia,,,,,,,57673
1996,França,,,,,,,795742
1996,Grécia,,,,,,,89930
1996,Hungria,,,,,,,23628
1996,Irlanda,,,,,,,33842
1996,Itália,,,,,,,770192
1996,Letónia,,,,,,,2658
1996,Lituânia,,,,,,,4191
1996,Luxemburgo,,,,,,,8270
1996,Malta,,,,,,,2096
1996,Países Baixos,,,,,,,193416
1996,Polónia,,,,,,,91506
1996,Portugal,,,,,,,71937
1996,Roménia,,,,,,,26073
1996,Suécia,,,,,,,110762
1997,,Portugal,,,,,,74693
1997,Alemanha,,,,,,,1299476
1997,Áustria,,,,,,,120251
1997,Bélgica,,,,,,,142325
1997,Bulgária,,,,,,,6520
1997,Chéquia,,,,,,,32143
1997,Chipre,,,,,,,5416
1997,Croácia,,,,,,,14700
1997,Dinamarca,,,,,,,72686
1997,Eslováquia,,,,,,,12042
1997,Eslovénia,,,,,,,12213
1997,Espanha,,,,,,,348442
1997,Estónia,,,,,,,2831
1997,Finlândia,,,,,,,61214
1997,França,,,,,,,803320
1997,Grécia,,,,,,,92000
1997,Hungria,,,,,,,25629
1997,Irlanda,,,,,,,39221
1997,Itália,,,,,,,801833
1997,Letónia,,,,,,,3629
1997,Lituânia,,,,,,,5617
1997,Luxemburgo,,,,,,,8533
1997,Malta,,,,,,,2268
1997,Países Baixos,,,,,,,199568
1997,Polónia,,,,,,,102814
1997,Portugal,,,,,,,75405
1997,Roménia,,,,,,,26711
1997,Suécia,,,,,,,109835
1998,,Portugal,,,,,,81288
1998,Alemanha,,,,,,,1316596
1998,Áustria,,,,,,,123535
1998,Bélgica,,,,,,,146703
1998,Bulgária,,,,,,,7518
1998,Chéquia,,,,,,,34086
1998,Chipre,,,,,,,5751
1998,Croácia,,,,,,,15923
1998,Dinamarca,,,,,,,75672
1998,Eslováquia,,,,,,,12600
1998,Eslovénia,,,,,,,12912
1998,Espanha,,,,,,,367883
1998,Estónia,,,,,,,3100
1998,Finlândia,,,,,,,63254
1998,França,,,,,,,832126
1998,Grécia,,,,,,,92868
1998,Hungria,,,,,,,26398
1998,Irlanda,,,,,,,42073
1998,Itália,,,,,,,804901
1998,Letónia,,,,,,,3774
1998,Lituânia,,,,,,,6394
1998,Luxemburgo,,,,,,,8798
1998,Malta,,,,,,,2482
1998,Países Baixos,,,,,,,209759
1998,Polónia,,,,,,,114264
1998,Portugal,,,,,,,80799
1998,Roménia,,,,,,,28889
1998,Suécia,,,,,,,109475
1999,,Portugal,,,,,,87337
1999,Alemanha,,,,,,,1365273
1999,Áustria,,,,,,,129818
1999,Bélgica,,,,,,,152281
1999,Bulgária,,,,,,,8556
1999,Chéquia,,,,,,,34870
1999,Chipre,,,,,,,6288
1999,Croácia,,,,,,,15839
1999,Dinamarca,,,,,,,76310
1999,Eslováquia,,,,,,,12062
1999,Eslovénia,,,,,,,13528
1999,Espanha,,,,,,,391527
1999,Estónia,,,,,,,3238
1999,Finlândia,,,,,,,68091
1999,França,,,,,,,860538
1999,Grécia,,,,,,,100802
1999,Hungria,,,,,,,27920
1999,Irlanda,,,,,,,45627
1999,Itália,,,,,,,836870
1999,Letónia,,,,,,,4165
1999,Lituânia,,,,,,,6806
1999,Luxemburgo,,,,,,,9491
1999,Malta,,,,,,,2629
