01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1960,,Portugal,,,,,,495
1961,,Portugal,,,,,,516
1962,,Portugal,,,,,,578
1963,,Portugal,,,,,,598
1964,,Portugal,,,,,,651
1965,,Portugal,,,,,,758
1966,,Portugal,,,,,,812
1967,,Portugal,,,,,,911
1968,,Portugal,,,,,,983
1969,,Portugal,,,,,,1051
1970,,Portugal,,,,,,1187
1971,,Portugal,,,,,,1375
1972,,Portugal,,,,,,1621
1973,,Portugal,,,,,,1916
1974,,Portugal,,,,,,2276
1975,,Portugal,,,,,,2619
1976,,Portugal,,,,,,3133
1977,,Portugal,,,,,,4037
1978,,Portugal,,,,,,4982
1979,,Portugal,,,,,,6329
1980,,Portugal,,,,,,8244
1981,,Portugal,,,,,,9834
1982,,Portugal,,,,,,11758
1983,,Portugal,,,,,,14962
1984,,Portugal,,,,,,18269
1985,,Portugal,,,,,,22485
1986,,Portugal,,,,,,27774
1987,,Portugal,,,,,,33123
1988,,Portugal,,,,,,39732
1989,,Portugal,,,,,,47045
1990,,Portugal,,,,,,56681
1991,,Portugal,,,,,,65077
1992,,Portugal,,,,,,73463
1993,,Portugal,,,,,,76654
1994,,Portugal,,,,,,82765
1995,,Portugal,,,,,,89721
1995,Alemanha,,,,,,,1980476
1995,Áustria,,,,,,,182926
1995,Bélgica,,,,,,,225088
1995,Bulgária,,,,,,,14423
1995,Chéquia,,,,,,,45975
1995,Chipre,,,,,,,7545
1995,Croácia,,,,,,,17505
1995,Dinamarca,,,,,,,138768
1995,Eslováquia,,,,,,,15604
1995,Eslovénia,,,,,,,16433
1995,Espanha,,,,,,,470063
1995,Estónia,,,,,,,2988
1995,Finlândia,,,,,,,99544
1995,França,,,,,,,1225261
1995,Grécia,,,,,,,105256
1995,Hungria,,,,,,,34116
1995,Irlanda,,,,,,,48412
1995,Itália,,,,,,,889468
1995,Letónia,,,,,,,4038
1995,Lituânia,,,,,,,5148
1995,Luxemburgo,,,,,,,14538
1995,Malta,,,,,,,2903
1995,Países Baixos,,,,,,,344141
1995,Polónia,,,,,,,107722
1995,Portugal,,,,,,,91724
1995,Roménia,,,,,,,28326
1995,Suécia,,,,,,,200914
1995,União Europeia 27,,,,,,x,
1996,,Portugal,,,,,,94906
1996,Alemanha,,,,,,,1975545
1996,Áustria,,,,,,,185837
1996,Bélgica,,,,,,,225081
1996,Bulgária,,,,,,,8766
1996,Chéquia,,,,,,,52625
1996,Chipre,,,,,,,7856
1996,Croácia,,,,,,,19130
1996,Dinamarca,,,,,,,144828
1996,Eslováquia,,,,,,,17353
1996,Eslovénia,,,,,,,16962
1996,Espanha,,,,,,,504388
1996,Estónia,,,,,,,3768
1996,Finlândia,,,,,,,101685
1996,França,,,,,,,1271480
1996,Grécia,,,,,,,113734
1996,Hungria,,,,,,,35256
1996,Irlanda,,,,,,,54964
1996,Itália,,,,,,,1025608
1996,Letónia,,,,,,,4595
1996,Lituânia,,,,,,,6571
1996,Luxemburgo,,,,,,,14549
1996,Malta,,,,,,,3059
1996,Países Baixos,,,,,,,355262
1996,Polónia,,,,,,,125849
1996,Portugal,,,,,,,97194
1996,Roménia,,,,,,,28737
1996,Suécia,,,,,,,226701
1996,União Europeia 27,,,,,,x,
1997,,Portugal,,,,,,102192
1997,Alemanha,,,,,,,1954798
1997,Áustria,,,,,,,186044
1997,Bélgica,,,,,,,228460
1997,Bulgária,,,,,,,9713
1997,Chéquia,,,,,,,54351
1997,Chipre,,,,,,,8063
1997,Croácia,,,,,,,21281
1997,Dinamarca,,,,,,,150120
1997,Eslováquia,,,,,,,19471
1997,Eslovénia,,,,,,,18280
1997,Espanha,,,,,,,517951
1997,Estónia,,,,,,,4422
1997,Finlândia,,,,,,,110315
1997,França,,,,,,,1295838
1997,Grécia,,,,,,,124287
1997,Hungria,,,,,,,39349
1997,Irlanda,,,,,,,66236
1997,Itália,,,,,,,1094028
1997,Letónia,,,,,,,5637
1997,Lituânia,,,,,,,8798
1997,Luxemburgo,,,,,,,15299
1997,Malta,,,,,,,3400
1997,Países Baixos,,,,,,,366882
1997,Polónia,,,,,,,140097
1997,Portugal,,,,,,,103167
1997,Roménia,,,,,,,31138
1997,Suécia,,,,,,,233819
1997,União Europeia 27,,,,,,x,
1998,,Portugal,,,,,,111029
1998,Alemanha,,,,,,,1997112
1998,Áustria,,,,,,,192762
1998,Bélgica,,,,,,,236626
1998,Bulgária,,,,,,,13120
1998,Chéquia,,,,,,,59283
1998,Chipre,,,,,,,9488
1998,Croácia,,,,,,,22794
1998,Dinamarca,,,,,,,155794
