01. Ano,02. Nome País (Europa),03. Nome Região (Portugal),04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2004,Alemanha,,,,,,x,
2004,Áustria,,,,,,fr,7.9
2004,Bélgica,,,,,,,12.6
2004,Bulgária,,,,,,x,
2004,Chéquia,,,,,,x,
2004,Chipre,,,,,,x,
2004,Croácia,,,,,,x,
2004,Dinamarca,,,,,,x,
2004,Eslováquia,,,,,,x,
2004,Eslovénia,,,,,,x,
2004,Espanha,,,,,,,4.9
2004,Estónia,,,,,,x,
2004,Finlândia,,,,,,,3.8
2004,França,,,,,,,5.4
2004,Grécia,,,,,,,24.7
2004,Hungria,,,,,,x,
2004,Irlanda,,,,,,,2.2
2004,Itália,,,,,,,12.2
2004,Letónia,,,,,,x,
2004,Lituânia,,,,,,x,
2004,Luxemburgo,,,,,,,4.5
2004,Malta,,,,,,x,
2004,Países Baixos,,,,,,x,
2004,Polónia,,,,,,x,
2004,Portugal,,,,,,,4.7
2004,Roménia,,,,,,x,
2004,Suécia,,,,,,,9.2
2005,Alemanha,,,,,,x,
2005,Áustria,,,,,,,4.6
2005,Bélgica,,,,,,,8.6
2005,Bulgária,,,,,,x,
2005,Chéquia,,,,,,,10.0
2005,Chipre,,,,,,,6.6
2005,Croácia,,,,,,x,
2005,Dinamarca,,,,,,,13.6
2005,Eslováquia,,,,,,,14.6
2005,Eslovénia,,,,,,,4.7
2005,Espanha,,,,,,,5.3
2005,Estónia,,,,,,,7.9
2005,Finlândia,,,,,,,3.5
2005,França,,,,,,,5.3
2005,Grécia,,,,,,,22.7
2005,Hungria,,,,,,,18.1
2005,Irlanda,,,,,,,2.7
2005,Itália,,,,,,,12.6
2005,Letónia,,,,,,,12.8
2005,Lituânia,,,,,,,9.0
2005,Luxemburgo,,,,,,,3.8
2005,Malta,,,,,,,1.7
2005,Países Baixos,,,,,,,20.2
2005,Polónia,,,,,,,16.5
2005,Portugal,,,,,,,4.3
2005,Roménia,,,,,,x,
2005,Suécia,,,,,,,9.2
2006,Alemanha,,,,,,x,
2006,Áustria,,,,,,,5.0
2006,Bélgica,,,,,,,9.8
2006,Bulgária,,,,,,,15.4
2006,Chéquia,,,,,,,10.8
2006,Chipre,,,,,,,3.0
2006,Croácia,,,,,,x,
2006,Dinamarca,,,,,,,16.1
2006,Eslováquia,,,,,,,16.4
2006,Eslovénia,,,,,,,3.0
2006,Espanha,,,,,,,7.4
2006,Estónia,,,,,,,6.8
2006,Finlândia,,,,,,,3.7
2006,França,,,,,,,6.0
2006,Grécia,,,,,,,24.6
2006,Hungria,,,,,,,12.3
2006,Irlanda,,,,,,,2.5
2006,Itália,,,,,,,12.2
2006,Letónia,,,,,,,10.6
2006,Lituânia,,,,,,,6.9
2006,Luxemburgo,,,,,,,4.8
2006,Malta,,,,,,,1.8
2006,Países Baixos,,,,,,,19.7
2006,Polónia,,,,,,,12.0
2006,Portugal,,,,,,,4.5
2006,Roménia,,,,,,x,
2006,Suécia,,,,,,,9.6
2007,Alemanha,,,,,,x,
2007,Áustria,,,,,,,5.4
2007,Bélgica,,,,,,,10.1
2007,Bulgária,,,,,,,21.2
2007,Chéquia,,,,,,,10.3
2007,Chipre,,,,,,,1.7
2007,Croácia,,,,,,x,
2007,Dinamarca,,,,,,,13.4
2007,Eslováquia,,,,,,,17.8
2007,Eslovénia,,,,,,,5.0
2007,Espanha,,,,,,,8.3
2007,Estónia,,,,,,,5.2
2007,Finlândia,,,,,,,4.7
2007,França,,,,,,,5.7
2007,Grécia,,,,,,,15.8
2007,Hungria,,,,,,,10.9
2007,Irlanda,,,,,,,3.1
2007,Itália,,,,,,,7.5
2007,Letónia,,,,,,,9.9
2007,Lituânia,,,,,,,4.8
2007,Luxemburgo,,,,,,,3.9
2007,Malta,,,,,,,2.5
2007,Países Baixos,,,,,,,18.3
2007,Polónia,,,,,,,10.5
2007,Portugal,,,,,,,7.4
2007,Roménia,,,,,,,19.7
2007,Suécia,,,,,,,7.9
2008,Alemanha,,,,,,x,
2008,Áustria,,,,,,"Quebra de série, fr",8.5
2008,Bélgica,,,,,,,12.5
2008,Bulgária,,,,,,,13.3
2008,Chéquia,,,,,,,12.8
2008,Chipre,,,,,,Quebra de série,1.8
2008,Croácia,,,,,,x,
2008,Dinamarca,,,,,,,17.1
2008,Eslováquia,,,,,,,5.6
2008,Eslovénia,,,,,,,4.4
2008,Espanha,,,,,,Quebra de série,9.4
