
Quadro extraído em 07 de Dezembro de 2025 (01:08:45)
http://www.ine.pt



Período de referência dos dados (1) ;Local de residência (Distrito/ Região);População média anual residente (N.º) por Local de residência (Distrito/ Região), Sexo e Grupo etário (Por ciclos de vida) -  Anual (2) ;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário (Por ciclos de vida);;;
;;65 e mais anos;;;
;;N.º ;N.º ;N.º ;
2023;PT: Portugal;2537739,5;1093694;1444045,5;
2022;PT: Portugal;2486274;1069053,5;1417220,5;
2021;PT: Portugal;2436948,5;1043548,5;1393400;
2020;PT: Portugal;2385367,5;1015957,5;1369410;
2019;PT: Portugal;2327150;984610,5;1342539,5;
2018;PT: Portugal;2273940;956670,5;1317269,5;

População média anual residente (N.º) por Local de residência (Distrito/ Região), Sexo e Grupo etário (Por ciclos de vida) -  Anual - INE, Estimativas anuais da população residente

Nota(s):
(1) 2011-2020, Estimativas Definitivas de População Residente - estimativas intercensitárias revistas (revisão regular geral) tendo por referência os resultados dos Censos 2011 e 2021. A partir de 2021, Estimativas Provisórias de População Residente - estimativas pós-censitárias assentes nos resultados dos Censos 2021. <BR>2022, Estimativas Provisórias de População Residente revistas em junho de 2024, que incluem na população residente as pessoas deslocadas da Ucrânia beneficiárias do regime de Proteção Temporária em Portugal.

(2) A população média de 2011 não corresponde à média aritmética das estimativas definitivas de população residente em 31 de dezembro de 2010 e em 31 de dezembro de 2011, uma vez que se procedeu a um ajustamento estatístico na população de 2010 com 79 e mais anos, decorrente da subavaliação detetada no âmbito da revisão da série de Estimativas Provisórias de População Residente 2011-2020, após disponibilização dos resultados dos Censos 2021. Aquele ajustamento ascendeu a +17,4 mil pessoas (+0,16%).



Última atualização destes dados: 18 de junho de 2025


Metainformação associada ao quadro

População média anual residente (N.º)
Designação;População média anual residente (N.º) por Local de residência (Distrito/ Região), Sexo e Grupo etário (Por ciclos de vida) -  Anual
Periodicidade;Anual
Fonte;INE, Estimativas anuais da população residente
Primeiro período disponível;1992
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (Distrito/ Região)
     Dimensão 3;Sexo
     Dimensão 4;Grupo etário (Por ciclos de vida)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     GRUPO ETÁRIO;Intervalo de idade, em anos, no qual o indivíduo se enquadra, de acordo com o momento de referência
     SEXO;Características biológicas e fisiológicas que definem homens e mulheres.
     POPULAÇÃO MÉDIA;População calculada pela média aritmética dos efetivos em dois momentos de observação, habitualmente em dois finais de anos consecutivos.
Definição;
Fórmula;Valor estimado
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;18-Jun-2025
