
Quadro extraído em 07 de Dezembro de 2025 (01:15:25)
http://www.ine.pt



Local de residência (NUTS - 2013);População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º) por Local de residência (NUTS - 2013) -  Anual;;;;;;
;Período de referência dos dados;;;;;;
;2023;2022;2021;2020;2019;2018;
;N.º (milhares);N.º (milhares);N.º (milhares);N.º (milhares);N.º (milhares);N.º (milhares);
PT: Portugal;2103,6;2083,6;2311,5;2056,2;2173;2222,1;

População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º) por Local de residência (NUTS - 2013) -  Anual - INE, Inquérito às condições de vida e rendimento


Última atualização destes dados: 30 de julho de 2025


Metainformação associada ao quadro

População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º)
Designação;População residente em risco de pobreza ou exclusão social (Europa 2030) (N.º) por Local de residência (NUTS - 2013) -  Anual
Periodicidade;Anual
Fonte;INE, Inquérito às condições de vida e rendimento
Primeiro período disponível;2018
Último período disponível;2024
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Local de residência (NUTS - 2013)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     RISCO DE POBREZA OU EXCLUSÃO SOCIAL;Percentagem de indivíduos em risco de pobreza ou que vivem em agregados com intensidade laboral per capita muito reduzida ou em situação de privação material e social severa.
     POPULAÇÃO RESIDENTE;Conjunto de pessoas que, independentemente de estarem presentes ou ausentes num determinado alojamento no momento de observação, viveram no seu local de residência habitual por um período contínuo de, pelo menos, 12 meses anteriores ao momento de observação, ou que chegaram ao seu local de residência habitual durante o período correspondente aos 12 meses anteriores ao momento de observação, com a intenção de aí permanecer por um período mínimo de um ano.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;3
Observações;A estratégia económica de crescimento da União Europeia para a próxima década, designada estratégia Europa 2030, define um novo indicador de monitorização da população em risco de pobreza ou exclusão social, que conjuga as condições de pobreza relativa, de privação material e social severa (em vez de privação material severa utilizada na estratégia Europa 2020) e de intensidade laboral per capita muito reduzida (alterado em relação ao utilizado na estratégia Europa 2020, principalmente no que respeita à idade máxima de aplicação do indicador).
Data da última atualização;30-Jul-2025
